a,b,sign,entry_z,d2_pnl,d2_cyc,d3_pnl,d3_cyc,d4_pnl,d4_cyc,tot_pnl
ORANGE,RED,spread,1.8,5090.0,3,16870.0,6,13460.0,9,35420.0
ORANGE,RED,spread,1.5,9040.0,5,11600.0,6,11430.0,11,32070.0
ORANGE,RED,spread,2.0,1140.0,2,16100.0,5,12650.0,7,29890.0
AMBER,RED,sum,1.2,6160.0,6,10810.0,7,11740.0,11,28710.0
ORANGE,YELLOW,sum,1.5,4350.0,7,17340.0,8,6890.0,6,28580.0
MAGENTA,RED,sum,1.0,12490.0,10,11570.0,11,4180.0,7,28240.0
ORANGE,YELLOW,sum,2.0,4980.0,5,9910.0,4,13000.0,6,27890.0
MAGENTA,YELLOW,sum,1.2,9180.0,17,10630.0,10,6940.0,8,26750.0
MAGENTA,YELLOW,sum,1.5,9480.0,13,9640.0,7,7620.0,6,26740.0
AMBER,RED,sum,1.0,3860.0,6,9330.0,9,13040.0,15,26230.0
MAGENTA,YELLOW,sum,2.0,7380.0,7,10280.0,5,7980.0,4,25640.0
ORANGE,YELLOW,sum,1.8,7080.0,7,7680.0,4,10670.0,6,25430.0
ORANGE,YELLOW,sum,1.0,5790.0,15,17120.0,13,2200.0,6,25110.0
ORANGE,YELLOW,sum,1.2,4420.0,10,16570.0,10,3950.0,6,24940.0
RED,YELLOW,sum,1.2,-180.0,3,19290.0,11,4630.0,8,23740.0
ORANGE,RED,spread,1.2,4410.0,5,11210.0,8,8050.0,13,23670.0
MAGENTA,YELLOW,sum,1.8,7000.0,8,7790.0,5,8530.0,5,23320.0
AMBER,RED,sum,1.5,5250.0,4,5170.0,3,12590.0,8,23010.0
MAGENTA,RED,sum,1.8,5060.0,3,8540.0,4,8840.0,5,22440.0
MAGENTA,YELLOW,sum,1.0,7710.0,21,9710.0,12,4680.0,9,22100.0
AMBER,ORANGE,sum,1.5,-230.0,7,9610.0,6,12690.0,7,22070.0
RED,YELLOW,sum,1.5,1980.0,3,14480.0,6,5020.0,6,21480.0
AMBER,ORANGE,sum,1.2,-60.0,12,11260.0,9,10080.0,8,21280.0
MAGENTA,RED,sum,1.2,4930.0,5,12160.0,9,4120.0,6,21210.0
AMBER,MAGENTA,sum,1.0,13320.0,16,6790.0,9,620.0,4,20730.0
MAGENTA,RED,sum,1.5,4970.0,4,9920.0,6,4910.0,5,19800.0
ORANGE,RED,spread,1.0,3590.0,6,8880.0,9,6630.0,16,19100.0
AMBER,RED,spread,1.5,130.0,3,7180.0,5,11370.0,5,18680.0
RED,YELLOW,sum,1.0,-1380.0,3,16570.0,13,2920.0,8,18110.0
MAGENTA,YELLOW,spread,1.5,12690.0,10,14600.0,7,-9980.0,2,17310.0
AMBER,RED,sum,1.8,1490.0,2,770.0,1,14970.0,7,17230.0
ORANGE,RED,sum,1.5,11130.0,6,5940.0,4,-100.0,3,16970.0
AMBER,ORANGE,sum,2.0,3250.0,4,5390.0,3,8230.0,4,16870.0
AMBER,ORANGE,sum,1.0,-260.0,15,10230.0,11,6780.0,8,16750.0
RED,YELLOW,sum,1.8,910.0,2,12610.0,4,1930.0,3,15450.0
MAGENTA,ORANGE,spread,2.0,7630.0,7,-110.0,2,7740.0,3,15260.0
ORANGE,RED,sum,1.8,7620.0,4,8630.0,3,-1790.0,2,14460.0
MAGENTA,ORANGE,spread,1.5,6820.0,10,2550.0,5,4390.0,4,13760.0
MAGENTA,ORANGE,spread,1.0,3710.0,16,3320.0,11,6610.0,9,13640.0
MAGENTA,RED,sum,2.0,6770.0,3,9070.0,3,-2450.0,3,13390.0
MAGENTA,ORANGE,spread,1.8,5310.0,7,-800.0,3,8510.0,4,13020.0
MAGENTA,ORANGE,sum,1.8,10960.0,9,11820.0,6,-9820.0,1,12960.0
MAGENTA,YELLOW,spread,1.2,11600.0,12,11430.0,9,-10070.0,3,12960.0
AMBER,ORANGE,sum,1.8,2400.0,6,3960.0,3,6530.0,4,12890.0
AMBER,MAGENTA,sum,1.2,8830.0,11,3400.0,6,-430.0,3,11800.0
MAGENTA,RED,spread,2.0,-2120.0,2,3130.0,2,10640.0,4,11650.0
RED,YELLOW,sum,2.0,1660.0,2,6870.0,2,3120.0,3,11650.0
MAGENTA,ORANGE,sum,2.0,13760.0,9,6940.0,4,-9270.0,1,11430.0
AMBER,YELLOW,sum,1.8,9300.0,6,9610.0,4,-7840.0,2,11070.0
AMBER,MAGENTA,spread,1.0,4360.0,11,-110.0,6,6630.0,7,10880.0
MAGENTA,RED,spread,1.0,-6380.0,2,9330.0,9,7580.0,9,10530.0
AMBER,YELLOW,sum,2.0,5570.0,5,9230.0,3,-4360.0,2,10440.0
MAGENTA,ORANGE,spread,1.2,3840.0,13,-10.0,7,6520.0,6,10350.0
AMBER,YELLOW,spread,2.0,3040.0,3,6220.0,4,970.0,2,10230.0
AMBER,YELLOW,spread,1.2,2650.0,6,8780.0,8,-1500.0,2,9930.0
MAGENTA,YELLOW,spread,1.0,9590.0,14,10160.0,11,-9910.0,4,9840.0
ORANGE,RED,sum,1.0,10050.0,10,2320.0,6,-3180.0,4,9190.0
AMBER,RED,spread,1.2,-3750.0,3,3180.0,5,9540.0,6,8970.0
MAGENTA,ORANGE,sum,1.0,8880.0,20,11530.0,13,-11540.0,1,8870.0
ORANGE,RED,sum,1.2,8610.0,7,260.0,4,-20.0,4,8850.0
AMBER,RED,sum,2.0,-1150.0,1,1280.0,1,7780.0,4,7910.0
AMBER,ORANGE,spread,1.8,11760.0,7,-9560.0,1,5510.0,3,7710.0
AMBER,YELLOW,spread,1.8,2250.0,3,5050.0,4,320.0,2,7620.0
MAGENTA,ORANGE,sum,1.5,10920.0,13,7560.0,6,-10950.0,1,7530.0
MAGENTA,RED,spread,1.2,-5780.0,2,6610.0,6,6450.0,6,7280.0
RED,YELLOW,spread,2.0,-2810.0,1,18820.0,7,-8900.0,1,7110.0
ORANGE,RED,sum,2.0,1930.0,2,5270.0,2,-240.0,2,6960.0
AMBER,YELLOW,spread,1.5,2230.0,4,5150.0,5,-540.0,2,6840.0
RED,YELLOW,spread,1.0,1040.0,4,14260.0,15,-8890.0,3,6410.0
RED,YELLOW,spread,1.2,3030.0,4,12250.0,9,-8950.0,2,6330.0
AMBER,MAGENTA,sum,1.5,3420.0,7,690.0,4,2120.0,3,6230.0
AMBER,MAGENTA,sum,1.8,2930.0,5,-380.0,3,3650.0,2,6200.0
MAGENTA,RED,spread,1.8,-3090.0,2,1620.0,2,7520.0,4,6050.0
MAGENTA,YELLOW,spread,1.8,940.0,5,16030.0,6,-10970.0,1,6000.0
AMBER,ORANGE,spread,2.0,14360.0,7,-9270.0,1,650.0,2,5740.0
AMBER,MAGENTA,spread,1.8,2770.0,5,6850.0,5,-3880.0,2,5740.0
RED,YELLOW,spread,1.5,3640.0,3,10560.0,7,-8560.0,2,5640.0
AMBER,YELLOW,spread,1.0,2160.0,7,5190.0,8,-1980.0,2,5370.0
AMBER,MAGENTA,spread,2.0,2290.0,3,6210.0,4,-3380.0,2,5120.0
AMBER,MAGENTA,spread,1.5,1230.0,5,4020.0,5,-260.0,3,4990.0
AMBER,ORANGE,spread,1.2,7920.0,11,-6220.0,2,2840.0,4,4540.0
AMBER,YELLOW,sum,1.5,7470.0,7,8810.0,5,-11940.0,2,4340.0
AMBER,MAGENTA,sum,2.0,2750.0,4,-3790.0,2,5190.0,2,4150.0
MAGENTA,ORANGE,sum,1.2,10780.0,17,4400.0,7,-11310.0,1,3870.0
AMBER,ORANGE,spread,1.5,11380.0,9,-9680.0,1,1980.0,3,3680.0
MAGENTA,RED,spread,1.5,-4240.0,2,-380.0,2,7560.0,5,2940.0
AMBER,MAGENTA,spread,1.2,2430.0,8,2360.0,6,-2190.0,3,2600.0
RED,YELLOW,spread,1.8,-3390.0,1,14800.0,7,-8900.0,1,2510.0
AMBER,RED,spread,1.8,-9770.0,1,6650.0,4,4730.0,3,1610.0
AMBER,YELLOW,sum,1.2,3760.0,7,10670.0,7,-13510.0,2,920.0
AMBER,RED,spread,1.0,-5680.0,3,480.0,5,5690.0,6,490.0
AMBER,YELLOW,sum,1.0,5030.0,11,9940.0,9,-14540.0,2,430.0
AMBER,ORANGE,spread,1.0,7030.0,13,-6620.0,3,10.0,4,420.0
MAGENTA,YELLOW,spread,2.0,-1130.0,3,10880.0,4,-10840.0,1,-1090.0
ORANGE,YELLOW,spread,1.5,11080.0,12,7460.0,6,-22030.0,1,-3490.0
AMBER,RED,spread,2.0,-9770.0,1,-2660.0,1,7070.0,3,-5360.0
ORANGE,YELLOW,spread,1.8,10100.0,9,6070.0,5,-21910.0,1,-5740.0
ORANGE,YELLOW,spread,1.2,9600.0,14,2450.0,6,-21940.0,2,-9890.0
ORANGE,YELLOW,spread,1.0,9410.0,19,2060.0,10,-22020.0,2,-10550.0
ORANGE,YELLOW,spread,2.0,5990.0,5,-650.0,3,-21730.0,1,-16390.0
